GenConBlf,VacConBlf,InfoPros_Analytic,InfoPros_Experiential,Aff_MMR,Aff_Cov,RskMsl,RskCov,RskMmrVac,RskCovVac,BnfMmrVac,BnfCovVac,VacIntMMR,VacIntCOV_Child,VacIntCOV_Self,HstMMR_inconfidence,HstMMR_risk,HstCov_risk,HstCov_inconfidence,AttdMMRVac,AttdMeasles,AttdCovVac,AttdCov19,SbjNrmMMR,BhvCtrlMMR,SbjNrmCov,BhvCtrlCov,Condition,Fact_others,Narrative_others,Hybrid_others,CaseNum,Progress,Duration__in_seconds_,Gender,Gender_5_TEXT,Ethnicity,Race,Race_7_TEXT,Religion,Religion_8_TEXT,PolIdeo,SlfPolIdeo,SlfPolIdeo_4_TEXT,age,marital,ChildNum,ChildNum_6_TEXT,ChildGen,ChildGen_1_TEXT,ChildGen_2_TEXT,ChildGen_3_TEXT,Income,Edu,Employ,States,Random_ID
3.6,3.857142857,4.2,2.4,3,2,2,2,2,2,3,3,4.5,3,3,2.285714286,3.5,4,2.857142857,3,4,2.833333333,4.4,3,4,3,4,Control,0,0,0,76,100,513,Male, ,Hispanic or Latino or Spanish origin,Native Hawaiian or Pacific Islander, ,Buddism, ,Liberal,Independents, ,31-40 years old,Married,1, ,Male, , , ,"More than $150,000","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),Nebraska,69289
2.8,2.142857143,4,3.4,2,3,3,4,3,3,3,3,3,1,4,2.714285714,4,3,2.142857143,3.333333333,3.6,3.833333333,4.6,2,3.5,3,3,Control,0,0,0,78,100,515,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Atheist, ,Very liberal,Democrats, ,31-40 years old,Partnered,1, ,Female, ,1, ,"$30,000 - $39,999","Master's degree (e.g., MA, MS, MEd)",Homemaker,Maryland,44585
4.066666667,3.714285714,6,5.2,4,5,4,4,4,4,4,4,4.5,4.5,3.5,1.571428571,4.5,5,1.571428571,2.666666667,3.4,2.5,3.8,4.5,4.5,4.5,4,Fact,1,0,0,79,100,516,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Very conservative,Republicans, ,31-40 years old,Married,2, ,Female, , , ,"$50,000 - $59,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),Michigan,88253
3.6,4,4.6,5.8,3,4,3,4,4,4,3,4,2.5,2.5,3,2.142857143,4,4,2.142857143,3.166666667,2.8,2.5,3.4,3,3.5,4,3.5,Fact,1,0,0,80,100,519,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Very conservative,Republicans, ,21-30 years old,Married,1, ,Female, ,4, ,"$50,000 - $59,999","Master's degree (e.g., MA, MS, MEd)",Employed part time (up to 30 hours per week),Ohio,16420
1.266666667,2,5.2,2.4,4,5,3,4,2,1,4,5,4,5,5,1.142857143,2.5,1.5,1,4.166666667,4.8,4.166666667,5,4.5,5,4.5,5,Control,0,0,0,81,100,529,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Agnostic, ,Neither liberal nor conservative,Democrats, ,51-60 years old,Partnered,1, ,Male,1, , ,"$60,000 - $69,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),California,43721
4.266666667,5,5.6,3.2,4,2,3,4,4,4,2,2,1,2,1.5,4,4.5,4.5,4.142857143,2.666666667,3,2.166666667,4,2,3,2,3.5,Hybrid,0,0,1,82,100,530,Male, ,NOT Hispanic or Latino or Spanish origin,Asian, ,Catholicism/Christianity, ,Liberal,Democrats, ,31-40 years old,Married,1, ,Male,1, , ,"$100,000 - $149,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),New York,58998
2.666666667,2.142857143,3.6,3.2,4,2,3,4,3,4,3,4,3.5,3,3.5,3.285714286,3.5,3.5,2.571428571,2.833333333,3.4,2.833333333,2.6,3.5,3,3.5,3.5,Fact,1,0,0,83,100,531,Male, ,NOT Hispanic or Latino or Spanish origin,Asian, ,Hinduism, ,Neither liberal nor conservative,Democrats, ,21-30 years old,Married,2, ,Male, , , ,"$40,000 - $49,999","Master's degree (e.g., MA, MS, MEd)",Self-employed,Ohio,54826
3.866666667,3.142857143,6.4,3.6,2,4,3,4,2,2,2,3,4.5,4,4.5,2.571428571,4,4,2,2.833333333,4,3.666666667,4.6,2,4.5,2,4,Control,0,0,0,85,100,532,Male, ,Hispanic or Latino or Spanish origin,Two or more, ,Catholicism/Christianity, ,Conservative,Republicans, ,21-30 years old,Separated,1, ,Male,1, , ,"$50,000 - $59,999","Bachelor's degree (e.g. BA, BS)",Self-employed,Arkansas,12167
4.066666667,4,4.6,5.8,4,4,4,4,4,4,4,4,4,4,4.5,1.714285714,4.5,3.5,1.714285714,2.666666667,3.4,2.666666667,3.2,4.5,3.5,4,4,Control,0,0,0,84,100,532,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Very conservative,Republicans, ,31-40 years old,Married,2, ,Female, ,2, ,"$50,000 - $59,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),Kansas,60332
3.266666667,3.857142857,6.2,5.6,3,4,2,4,4,1,5,5,4,3.5,3.5,1.714285714,3.5,4,2,3.5,3.2,2.833333333,3,4,4,3.5,4.5,Narrative,0,1,0,86,100,537,Male, ,NOT Hispanic or Latino or Spanish origin,Black or African American, ,Catholicism/Christianity, ,Conservative,Republicans, ,41-50 years old,Married,1, ,Male,1, , ,"$60,000 - $69,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),New York,62782
3,3.428571429,5,5.6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Control,0,0,0,88,100,539,Male, ,Hispanic or Latino or Spanish origin,American Indian or Alaska Native, ,Catholicism/Christianity, ,Conservative,Republicans, ,18-20 years old,Married,1, ,Male, , , ,"Less than $10,000",Less than a high school diploma,Homemaker,Indiana,81059
2.066666667,2.857142857,2.6,4.6,3,3,2,2,3,3,2,2,3,2,2,2.571428571,3,4,3,3.333333333,3,3,2.6,3,3.5,3,3.5,Control,0,0,0,89,100,539,Prefer not to say, ,Hispanic or Latino or Spanish origin,Other:,Mixed,Other:,Spiritual,Neither liberal nor conservative,Independents, ,31-40 years old,Partnered,2, ,Female, ,2, ,"$50,000 - $59,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Colorado,76069
4.2,4,5.4,3.8,2,2,4,4,3,4,3,3,2,3.5,4,2.714285714,3.5,4.5,3.428571429,3.166666667,2.6,2.833333333,3.8,3.5,4.5,4.5,4.5,Fact,1,0,0,87,100,539,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Liberal,Independents, ,21-30 years old,Married,1, ,Male,1, , ,"$40,000 - $49,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),Texas,55985
3.2,3.571428571,6,1.8,4,4,4,3,3,2,4,3,4,3,4,1.571428571,3.5,4,2,3.166666667,4.6,3.5,5,5,4,3.5,3.5,Control,0,0,0,90,100,541,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Agnostic, ,Liberal,Democrats, ,31-40 years old,Married,3, ,Male,3, , ,"$60,000 - $69,999","Some college, no degree",Employed full time (40 or more hours per week),Utah,92711
1.4,3,6.2,1.4,4,3,4,4,2,3,4,3,4,3,3,2.142857143,4,3.5,2.571428571,3,3.8,2.833333333,4.6,3,4.5,1.5,3.5,Fact,1,0,0,91,100,544,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Conservative,Republicans, ,21-30 years old,Married,3, ,Female, ,3, ,"$50,000 - $59,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Michigan,70341
3.533333333,3.428571429,6.8,1,3,2,4,4,3,4,4,2,4,1,1,2.428571429,1.5,4.5,3.857142857,4.166666667,4.4,2.333333333,4.2,5,4.5,3,4,Control,0,0,0,93,100,546,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Other:,Spiritual,Neither liberal nor conservative,Independents, ,41-50 years old,Married,2, ,Male,2, , ,"$90,000 - $99,999","Bachelor's degree (e.g. BA, BS)",Self-employed,Florida,29981
2.933333333,1.857142857,7,1,4,4,4,4,1,2,5,5,4,5,5,1.285714286,1.5,1.5,1.285714286,4,4.8,3.666666667,4.6,4,4,3.5,4,Hybrid,0,0,1,92,99,546,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Liberal,Democrats, ,21-30 years old,Married,1, ,Female, ,1, ,"$50,000 - $59,999","Associate degree (e.g. AA, AS)",Employed part time (up to 30 hours per week),Washington,88102
2.4,4.285714286,6.6,1.8,4,4,3,4,2,2,4,3,3,2,4.5,2,3.5,3.5,2.857142857,3.833333333,4.4,3.5,4.6,4,4.5,2,4,Fact,1,0,0,94,100,547,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Very conservative,Republicans, ,31-40 years old,Married,1, ,Male,3, , ,"More than $150,000","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),New York,85127
2.4,2.714285714,3.4,3.2,3,4,2,3,2,2,4,3,3,3,2.5,3.428571429,3,3.5,3,3.333333333,3.2,2.833333333,2.6,3,2,3,3,Control,0,0,0,95,100,547,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Very conservative,Republicans, ,31-40 years old,Married,2, ,Male, , , ,"$100,000 - $149,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),Texas,81080
3.933333333,5,5.4,4,2,2,3,4,4,4,2,2,4,1.5,1.5,2.285714286,4,5,2.857142857,2.833333333,3.8,2.166666667,3.4,4.5,3,5,3.5,Narrative,0,1,0,96,100,550,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Buddism, ,Conservative,Republicans, ,21-30 years old,Partnered,1, ,Female, ,1, ,"$50,000 - $59,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),Georgia,84383
3.6,4,6.6,6.4,4,4,2,2,2,2,2,2,4,4,4,1.857142857,4.5,4.5,2.142857143,2.666666667,3.6,2.666666667,4.2,4,4,5,5,Hybrid,0,0,1,97,100,552,Female, ,Hispanic or Latino or Spanish origin,Black or African American, ,Buddism, ,Liberal,Independents, ,21-30 years old,Separated,2, ,Female, , , ,"Less than $10,000","Bachelor's degree (e.g. BA, BS)",Self-employed,California,28852
4.4,4.571428571,6,2.8,2,1,2,1,3,4,3,2,3,1,1,3.428571429,4.5,4,4.714285714,2.5,2.2,2,3,4,3.5,1.5,3,Control,0,0,0,98,100,557,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Agnostic, ,Neither liberal nor conservative,Independents, ,21-30 years old,Partnered,1, ,Male,1, , ,"$20,000 - $29,999",High school degree or equivalent (e.g. GED),Employed part time (up to 30 hours per week),Wisconsin,48430
4.466666667,5,2.2,2.6,1,1,1,1,4,4,1,1,1,1,1,5,3,3,5,3.666666667,2.8,2.333333333,2.8,1,3,1,3,Hybrid,0,0,1,101,100,558,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Other:,spiritual,Very liberal,Independents, ,21-30 years old,Partnered,1, ,Male,1, , ,"$20,000 - $29,999","Some college, no degree",Self-employed,Wisconsin,37783
3.666666667,3.714285714,4.6,4.8,3,3,3,4,2,3,4,4,1,1,1,2,4,4.5,2.857142857,3,3,2.666666667,3.6,3.5,4,2,3,Control,0,0,0,99,100,558,Female, ,NOT Hispanic or Latino or Spanish origin,Asian, ,Atheist, ,Neither liberal nor conservative,Independents, ,31-40 years old,Married,1, ,Female, ,1, ,"$20,000 - $29,999",High school degree or equivalent (e.g. GED),Employed part time (up to 30 hours per week),Oklahoma,468
3.6,3.285714286,5.6,2.4,3,1,3,2,3,4,3,1,3,1,1,2.714285714,4,4,4.428571429,2.5,3.6,1.833333333,2.8,3,3.5,2,2,Hybrid,0,0,1,100,100,558,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Very conservative,Republicans, ,31-40 years old,Married,1, ,Male,1, , ,"$70,000 - $79,999","Bachelor's degree (e.g. BA, BS)",Self-employed,Arizona,2687
1.6,3,5,2.6,3,2,3,4,3,4,3,3,2.5,2,2,2.714285714,3.5,3,3,3,3,3,3,3,3,2,4,Fact,1,0,0,102,100,560,Female, ,NOT Hispanic or Latino or Spanish origin,Black or African American, ,Other:, ,Neither liberal nor conservative,Independents, ,31-40 years old,Divorced,3, ,Female, , , ,"$20,000 - $29,999","Associate degree (e.g. AA, AS)",Employed part time (up to 30 hours per week),South Carolina,28979
2.333333333,3.857142857,5,2.2,4,3,3,2,2,3,4,2,4,2,2,2.142857143,2,3.5,4,3.833333333,3.8,2.333333333,2.6,4,4,2,3,Hybrid,0,0,1,103,100,562,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Atheist, ,Conservative,Republicans, ,21-30 years old,Partnered,1, ,Male,1, , ,"$80,000 - $89,999","Some college, no degree",Employed full time (40 or more hours per week),Delaware,77526
3.4,3,6,5,2,4,3,4,2,4,1,5,4,4.5,2,2.571428571,3,4,3.166666667,2.666666667,4.2,3.5,3.6,4,3.5,2.5,4,Control,0,0,0,104,100,562,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Conservative,Democrats, ,21-30 years old,Married,2, ,Female, ,2, ,"$30,000 - $39,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Missouri,10909
4.133333333,4,6.6,3.8,5,5,4,4,4,3, ,5,5,5,4.5,1.714285714,4.5,4,1.714285714,2.333333333,4.2,2.333333333,4.2,5,4.5,4,4.5,Fact,1,0,0,105,100,565,Female, ,Hispanic or Latino or Spanish origin,Caucasian or White, ,Agnostic, ,Liberal,Independents, ,31-40 years old,Married,4, ,Female, , , ,"$40,000 - $49,999","Master's degree (e.g., MA, MS, MEd)",Self-employed,Alabama,85978
4,4,5.4,6.4,4,4,4,4,4,3,3,4,4,4,3.5,2.142857143,4,5,2,2.666666667,3.8,2,3.4,3.5,4,4.5,3.5,Control,0,0,0,106,100,568,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Very conservative,Democrats, ,21-30 years old,Married,1, ,Female, ,1, ,"$80,000 - $89,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),Florida,2427
3,5,6.4,1,3,1,2,4,2,4,2,1,2.5,1,1,3.5,4,5,5,3.166666667,3.2,2.333333333,3.8,4,3.5,2.5,3,Control,0,0,0,107,100,570,Female, ,NOT Hispanic or Latino or Spanish origin,Asian, , , ,Neither liberal nor conservative,Independents, ,21-30 years old,Partnered,1, ,Male,1, , ,"$100,000 - $149,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Michigan,78592
1.666666667,3.714285714,4,2.6,2,3,3,2,4,3,5,3,1,1,2,2.428571429,3.5,3.5,3.428571429,2.5,3.4,2.166666667,4,3,3,3,3,Control,0,0,0,108,100,571,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Conservative,Republicans, ,31-40 years old,Married,3, ,Male,2, , ,"$20,000 - $29,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Kentucky,17614
3.8,4,5.6,3.4,3,2,3,3,3,3,3,3,4,1,1,3,3,3.5,3.142857143,2.666666667,3.8,2.5,3.8,3,3.5,1,3,Hybrid,0,0,1,110,100,572,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Neither liberal nor conservative,Independents, ,21-30 years old,Partnered,1, ,Male,1, , ,"$40,000 - $49,999","Associate degree (e.g. AA, AS)",Employed full time (40 or more hours per week),Pennsylvania,90936
3.733333333,3.285714286,4.8,2.8,2,2,3,3,3,4,3,3,2,2,2,3.428571429,3.5,4,3.428571429,2.833333333,3.4,2.833333333,3.2,3.5,3.5,4,4,Fact,1,0,0,109,100,572,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Conservative,Republicans, ,31-40 years old,Married,1, ,Male,1, , ,"$100,000 - $149,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),Virginia,31601
3.066666667,3.142857143,4.4,3.6,4,4,3,4,2,2,4,4,4,5,5,2.142857143,3.5,3,1.857142857,3.333333333,3.2,4,3.8,4.5,4.5,3,3.5,Hybrid,0,0,1,112,99,572,Female, ,NOT Hispanic or Latino or Spanish origin,Asian, ,Islam, ,Neither liberal nor conservative,Independents, ,31-40 years old,Married,1, ,Female, ,1, ,"$20,000 - $29,999","Professional degree (e.g., MD, DDS, DVM)",Employed full time (40 or more hours per week),Louisiana,80751
3.266666667,2.857142857,2.8,5.6,2,4,3,4,4,2,2,3,2.5,4,3,2.142857143,1.5,4,2.571428571,3,2.8,2.833333333,3.2,4.5,2.5,4,2.5,Narrative,0,1,0,111,100,572,Male, ,Hispanic or Latino or Spanish origin,American Indian or Alaska Native, ,Hinduism, ,Conservative,Independents, ,31-40 years old,Married,2, ,Male, , , ,"$10,000 - $19,999","Master's degree (e.g., MA, MS, MEd)",Self-employed,Indiana,22202
2.866666667,2.857142857,4.6,4.2,4,3,4,3,2,3,2,3,3.5,3,4,2.857142857,3,4,3.428571429,2.666666667,2.4,2.333333333,3.2,3.5,2,3,3,Fact,1,0,0,113,100,576,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Liberal,Democrats, ,21-30 years old,Married,1, ,Female, ,1, ,"$40,000 - $49,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Texas,1533
4,4.285714286,4.8,5.6,5,4,3,4,4,4,4,5,4.5,4.5,4.5,2,4.5,4,2,2.666666667,3.2,2.333333333,3.6,3.5,4,3.5,4,Hybrid,0,0,1,114,99,588,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Very conservative,Republicans, ,31-40 years old,Married,2, ,Male,2, , ,"$50,000 - $59,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),Kansas,90944
3.733333333,3.714285714,5.4,4.2,4,4,4,4,4,4,2,3,3,4,3.5,2.285714286,3,3,2.857142857,2.666666667,3,2.833333333,3.2,3,3.5,4,4,Hybrid,0,0,1,115,100,588,Male, ,NOT Hispanic or Latino or Spanish origin,Black or African American, ,Catholicism/Christianity, ,Conservative,Republicans, ,31-40 years old,Married,2, ,Male,2, , ,"$70,000 - $79,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Texas,82854
3.666666667,3.857142857,5.6,2.8,4,3,4,4,3,4,3,3,3.5,1,2,2.857142857,4,5,3.428571429,2.5,3.2,2.166666667,3.4,4.5,4,2,3.5,Control,0,0,0,116,100,589,Male, ,Hispanic or Latino or Spanish origin,American Indian or Alaska Native, ,Buddism, ,Neither liberal nor conservative,Independents, ,21-30 years old,Partnered,1, ,Female, ,1, ,"$50,000 - $59,999","Associate degree (e.g. AA, AS)",Employed full time (40 or more hours per week),California,28584
3.866666667,3.857142857,6.4,1.4,4,1,3,2,2,4,3,1,2.5,1,1,2.428571429,2,5,4.857142857,2.833333333,4,2,2.6,3,4.5,1,3,Hybrid,0,0,1,117,100,591,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Conservative,Independents, ,31-40 years old,Married,1, ,Male,1, , ,"$30,000 - $39,999","Professional degree (e.g., MD, DDS, DVM)",Employed full time (40 or more hours per week),Wisconsin,23725
3.6,2.857142857,4,4.4,2,4,3,3,3,3,2,3,3.5,3.5,3.5,2.428571429,3.5,4,2,2.666666667,3.4,2.333333333,3,3,3.5,3.5,4,Hybrid,0,0,1,118,100,599,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Very conservative,Democrats, ,51-60 years old,Married,1, ,Male,1, , ,"$40,000 - $49,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),California,71915
3.466666667,4.285714286,6.8,1.4,4,3,4,4,3,3,2,2,3,3.5,3.5,3,3.5,3.5,3.142857143,2.333333333,4,2.5,4,3.5,4,4.5,4.5,Narrative,0,1,0,119,100,599,Female, ,Hispanic or Latino or Spanish origin,Caucasian or White, ,Other:,candomblecism,Neither liberal nor conservative,Democrats, ,21-30 years old,Married,1, ,Female, ,1, ,"$20,000 - $29,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Alabama,41812
3.6,3.571428571,6.6,3,4,3,3,4,2,3,4,2,4,4,4,1.428571429,2.5,3.5,3,3.833333333,3.6,2.666666667,3.8,5,5,3,3,Control,0,0,0,120,100,602,Female, ,Hispanic or Latino or Spanish origin,Asian, ,Hinduism, ,Conservative,Republicans, ,21-30 years old,Married,1, ,Female, ,1, ,"$80,000 - $89,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Indiana,77727
3.266666667,2.714285714,5.4,2,5,1,4,2,1,4,5,1,5,1,1,1,1,4,5,4.333333333,5,1.833333333,2.2,5,5,1,3,Control,0,0,0,121,100,604,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Conservative,Republicans, ,31-40 years old,Married,1, ,Male,1, , ,"$40,000 - $49,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Illinois,95779
3,3.857142857,4.8,3.6,2,1,2,2,2,4,2,2,2.5,1,1,2.857142857,3,2,4.285714286,3.166666667,3.2,2.333333333,3,4,4,1.5,3.5,Fact,1,0,0,122,100,604,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Conservative,Republicans, ,31-40 years old,Married,3, , , , , ,"$90,000 - $99,999",High school degree or equivalent (e.g. GED),Employed full time (40 or more hours per week),Arizona,90734
3.066666667,3.714285714,5.2,4.8,4,4,4,3,3,4,4,4,3.5,3.5,4,1.857142857,4,4,2.285714286,2.666666667,3.6,2.833333333,3.6,3,4,4,3.5,Fact,1,0,0,123,100,605,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Liberal,Republicans, ,21-30 years old,Married,2, ,Male,2, , ,"$100,000 - $149,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Alaska,97773
3.4,3.142857143,5.2,2.4,3,1,3,3,2,4,3,2,3,1,1,2.714285714,3.5,5,4.428571429,3.333333333,3.6,1.833333333,3.4,4,4,2,3.5,Narrative,0,1,0,124,100,608,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Conservative,Republicans, ,31-40 years old,Married,3, ,Female, ,3, ,"$50,000 - $59,999","Associate degree (e.g. AA, AS)",Employed full time (40 or more hours per week),Indiana,12025
3.866666667,3.285714286,5.4,4.4,3,2,4,4,3,4,4,2,4,2.5,2.5,2.142857143,3.5,4.5,2.285714286,2.833333333,3.6,2.666666667,4.4,4,4,4,4.5,Control,0,0,0,125,100,609,Female, ,NOT Hispanic or Latino or Spanish origin,Asian, ,Hinduism, ,Liberal,Democrats, ,21-30 years old,Married,2, ,Female, ,2, ,"$80,000 - $89,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Florida,72196
2.666666667,2.571428571,5.6,2.2,3,5,3,4,2,2,3,4,4,4,4,1.857142857,2,2,1.285714286,4,3.8,4.5,4.8,5,4.5,5,5,Control,0,0,0,126,100,610,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Agnostic, ,Very liberal,Democrats, ,21-30 years old,Separated,1, ,Female, ,1, ,"$30,000 - $39,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Vermont,77599
3.866666667,3.571428571,5.4,3,4,1,3,1,2,4,5,1,5,1,1,2.428571429,4,3,4.857142857,3,2,2.333333333,1.2,4.5,4,1.5,3.5,Fact,1,0,0,127,100,612,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Conservative,Republicans, ,31-40 years old,Married,3, ,Female, ,3, ,"$60,000 - $69,999","Bachelor's degree (e.g. BA, BS)",Self-employed,Georgia,60858
3.8,3.428571429,6,2.8,4,3,4,3,2,3,4,3,4,3.5,3.5,2,3.5,3,2.714285714,3.5,4.6,3.5,4,4,4.5,4,4,Fact,1,0,0,128,100,613,Male, ,NOT Hispanic or Latino or Spanish origin,Asian, ,Hinduism, ,Neither liberal nor conservative,Independents, ,31-40 years old,Married,1, ,Female, ,1, ,"$90,000 - $99,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Florida,26702
2.933333333,3.142857143,4.4,4.2,3,4,3,3,3,2,2,3,3,3,3,2.714285714,3,3.5,3,3.333333333,3.2,2.666666667,3.8,3,3.5,3,3.5,Fact,1,0,0,129,100,616,Female, ,Hispanic or Latino or Spanish origin,Caucasian or White, ,Atheist, ,Neither liberal nor conservative,Democrats, ,21-30 years old,Married,1, ,Male,1, , ,"Less than $10,000","Bachelor's degree (e.g. BA, BS)",Employed part time (up to 30 hours per week),California,17476
3.2,2.857142857,5.4,3.6,3,3,3,3,2,2,3,3,3,4,4,3,3,2.5,3,3.166666667,3.2,3.166666667,4,3,3,3,3,Fact,1,0,0,130,100,618,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Neither liberal nor conservative,Democrats, ,31-40 years old,Married,1, ,Male,1, , ,"$100,000 - $149,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Minnesota,29912
4.533333333,3.285714286,4,3.4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Narrative,0,1,0,131,100,622,Prefer not to say, ,NOT Hispanic or Latino or Spanish origin,Other:,prefer not to say,Other:,prefer not to say,Neither liberal nor conservative,Other:,prefer not to say,21-30 years old,Separated,1, ,Other, , ,prefer not to say,"$30,000 - $39,999",High school degree or equivalent (e.g. GED),Employed full time (40 or more hours per week),Texas,22398
3.2,2.857142857,4,4.6,2,3,2,3,4,3,3,2,3,2.5,3.5,2.571428571,3.5,3,3,3.333333333,3.6,3.166666667,3.4,3,3,4,2.5,Control,0,0,0,133,90,623, , , , , , , , , , , , , , , , , , , , , , ,10619
4.133333333,4.571428571,6.4,6,5,4,2, ,3,4,3,5,4.5,4.5,4.5,1.714285714,4.5,5,1.571428571,2.5,3.25,2.5,4,4.5,4.5,5,4,Narrative,0,1,0,132,100,623,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Very conservative,Republicans, ,31-40 years old,Married,2, ,Female, ,1, ,"$50,000 - $59,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),New York,16227
3.8,4,5.6,5,3,3,3,3,3,3,3,3,4,4,4,2.142857143,4,3.5,2.285714286,2.666666667,3.4,2.833333333,3.2,4,3.5,4,4.5,Fact,1,0,0,134,100,624,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Liberal,Republicans, ,21-30 years old,Married,1, ,Male,1, , ,"$10,000 - $19,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Washington,87916
